node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,resource_unit_price_current,resource_price_multiplier,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,fundamental_token_price,token_market_multiplier,token_speculation_premium,node_apr_error_cum,utilization_error_cum,step_cost_data,apr_divergence_warning,business_apr,simulation,subset,run,substep,timestep
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,300000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,0,0
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,304500000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,1,1
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,304500000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,2,1
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,304500000.0,1960000000.0,0,0.15535714285714286,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,3,1
15000,4567.500000000001,0.0,0.0,0.0,10.86825396825397,0.0,304500000.0,1960000000.0,0,0.15535714285714286,6090.000000000001,60.90000000000001,2e-05,1.0,1461.6000000000001,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,4,1
15000,4567.500000000001,0.0,2607.500000000001,1960.0,6.04277777777778,0.0,304500000.0,1960000000.0,0,0.15535714285714286,6090.000000000001,60.90000000000001,2e-05,1.0,1461.6000000000001,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,6.04277777777778,0,0,1,5,1
15000,4567.500000000001,0.0,2607.500000000001,1960.0,6.04277777777778,0.0,304500000.0,1960000000.0,0,0.15535714285714286,6090.000000000001,60.90000000000001,2e-05,1.0,1461.6000000000001,2739.72602739726,24998721.873972606,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,6.04277777777778,0,0,1,6,1
15000,4567.500000000001,0.0,2607.500000000001,1960.0,6.04277777777778,0.0,304500000.0,1960000000.0,0,0.15535714285714286,6090.000000000001,60.90000000000001,2e-05,1.0,1461.6000000000001,2739.72602739726,24998721.873972606,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,503926940.6392694,2480518.3037332366,0.004961036607466473,0.004961036607466473,1.0,0.0,0.0,0,{},,6.04277777777778,0,0,1,7,1
15000,4567.500000000001,0.0,2607.500000000001,1960.0,6.04277777777778,0.0,304500000.0,1960000000.0,0,0.15535714285714286,6090.000000000001,60.90000000000001,2e-05,1.0,1461.6000000000001,2739.72602739726,24998721.873972606,0.05,10000000000.0,12371.76810913547,12371.76810913547,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,503914568.87116027,2480579.2037332365,0.004922497694976249,0.004922497694976249,1.0,0.0,0.0,0,{},,6.04277777777778,0,0,1,8,1
15000,4567.500000000001,0.0,2607.500000000001,1960.0,6.04277777777778,0.0,304500000.0,1960000000.0,0,0.15535714285714286,6090.000000000001,60.90000000000001,2e-05,1.0,1461.6000000000001,2739.72602739726,24998721.873972606,0.05,10000000000.0,12371.76810913547,12371.76810913547,0,0,150000000,0.0,0.0,3926940.6392694064,3926940.6392694064,0,503914568.87116027,2480579.2037332365,0.004922497694976249,0.004922497694976249,1.0,0.0,0.0,0,{},,6.04277777777778,0,0,1,9,1
