timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,301499999.99999994,1470000000.0,0.2051020408163265,504007604.10435885,2480121.3113069963,0.004920719582678234,500000,3515981.735159817,500000,3515981.735159817,8377.630800968798,8377.630800968798,0,0,9999991622.3692,5554007604.104359,150000000,15000,4119.30039291066,3091.7978954081627,2497.5024975024976,1470.0,9.546769350179531,0.0,989.375326530612,2739.72602739726,24998249.649299134
2,1,0,303007499.9999999,1470000000.0,0.20612755102040808,508115029.0101102,2460072.8745126883,0.004842519874473496,500000,3515981.735159817,1000000,7031963.470319634,8556.829408453803,16934.4602094226,0,0,9999983065.539791,5558015029.01011,149900000,14990,4096.267892892567,3108.305623215879,2457.9622696766883,1470.0,9.500545555693781,-10.0,994.6577994290814,2739.72602739726,24996504.58107117
3,1,0,304522537.4999998,1469020000.0,0.20729638636642103,512222268.1532675,2440346.852757237,0.00490712996573463,500000,3515981.735159817,1500000,10547945.20547945,8742.592002487916,25677.052211910515,0,0,9999974322.947788,5562022268.153268,149800000,14980,4074.4320772009764,3125.0484377129787,2418.403639487998,1469.02,9.463341825239148,-10.0,1000.0155000681531,2739.72602739726,24994764.87054384
4,1,0,306045150.18749976,1468040000.0,0.2084719423091331,516329318.63819885,2420935.544192673,0.004900319735049772,500000,3515981.735159817,2000000,14063926.940639269,8931.250228492541,34608.30244040306,0,0,9999965391.69756,5566029318.638199,149700000,14970,4053.642009927209,3141.887914434806,2379.794095492403,1468.04,9.428284102850597,-10.0,1005.404132619138,2739.72602739726,24993030.548649065
5,1,0,307575375.9384372,1467060000.0,0.209654258134253,520436177.5365872,2401831.4904945744,0.004831617541785723,500000,3515981.735159817,2500000,17579908.675799087,9122.83677149367,43731.13921189673,0,0,9999956268.860788,5570036177.536587,149600000,14960,4033.8682079027026,3158.8246769230436,2342.103530979659,1467.06,9.395320538039055,-10.0,1010.8238966153739,2739.72602739726,24991301.646518286
6,1,0,309113252.81812936,1466080000.0,0.2108433733617056,524542841.8871051,2383027.4673141604,0.0047652484571128265,500000,3515981.735159817,3000000,21095890.410958905,9317.384641874181,53048.52385377091,0,0,9999946951.476147,5574042841.887105,149500000,14950,4015.082377097475,3175.8593533639337,2305.303023733541,1466.08,9.364401220283721,-10.0,1016.2749930764587,2739.72602739726,24989578.195483968
7,1,0,310658819.08221996,1465100000.0,0.2120393277470616,528649308.69508636,2364516.475176124,0.004734272593804497,500000,3515981.735159817,3500000,24611872.146118723,9514.927178538894,62563.4510323098,0,0,9999937436.548967,5578049308.6950865,149400000,14940,3997.2573571755697,3192.992576628232,2269.364780547337,1465.1,9.335478098989332,-10.0,1021.7576245210342,2739.72602739726,24987860.227081094
8,1,0,312212113.177631,1464120000.0,0.21324216128297613,532755574.93219405,2346291.730798111,0.004732615478443102,500000,3515981.735159817,4000000,28127853.88127854,9715.498052111254,72278.94908442105,0,0,9999927721.050915,5582055574.932194,149300000,14930,3980.3670690595673,3210.224984311538,2234.262084748029,1464.12,9.308504907241497,-10.0,1027.271994979692,2739.72602739726,24986147.773048677
9,1,0,313773173.7435191,1463140000.0,0.2144519142006364,536861637.5360857,2328346.6588092363,0.004674775811461291,500000,3515981.735159817,4500000,31643835.61643836,9919.131268161973,82198.08035258303,0,0,9999917801.919647,5586061637.536086,149200000,14920,3964.386465319177,3227.557218775011,2199.9692465441667,1463.1399999999999,9.283437089160966,-10.0,1032.8183100080034,2739.72602739726,24984440.86533129
10,1,0,315342039.6122367,1462160000.0,0.21566862697121839,540967493.4100752,2310674.8838463943,0.004661909975763502,500000,3515981.735159817,5000000,35159817.35159817,10125.86117046994,92323.94152305297,0,0,9999907676.058477,5590067493.410075,149100000,14910,3949.2914832115785,3244.9899271864897,2166.461556025089,1462.1599999999999,9.260231730668917,-10.0,1038.3967766996768,2739.72602739726,24982739.53608059
