node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,resource_unit_price_current,resource_price_multiplier,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,fundamental_token_price,token_market_multiplier,token_speculation_premium,node_apr_error_cum,utilization_error_cum,step_cost_data,simulation,subset,run,substep,timestep
15000,0.0,0.0,0.0,0.0,43.29841269841271,0.0,1200000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},0,0,1,0,0
15000,0.0,0.0,0.0,0.0,43.29841269841271,0.0,1224000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},0,0,1,1,1
15000,0.0,0.0,0.0,0.0,43.29841269841271,0.0,1224000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},0,0,1,2,1
15000,0.0,0.0,0.0,0.0,43.29841269841271,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},0,0,1,3,1
15000,18360.000000000004,0.0,0.0,0.0,43.29841269841271,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},0,0,1,4,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500376712.3287671,2498117.8564095544,0.004996235712819109,0.004996235712819109,1.0,0.0,0.0,0,{},0,0,1,5,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,2739.72602739726,25003135.473972604,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500376712.3287671,2498117.8564095544,0.004996235712819109,0.004996235712819109,1.0,0.0,0.0,0,{},0,0,1,6,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,2739.72602739726,25003135.473972604,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503892694.06392694,2480686.889739698,0.004957638572335855,0.004957638572335855,1.0,0.0,0.0,0,{},0,0,1,7,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,2739.72602739726,25003135.473972604,0.05,10000000000.0,49720.406255841604,49720.406255841604,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503842973.6576711,2480931.6897396976,0.004923531773661618,0.004923531773661618,1.0,0.0,0.0,0,{},0,0,1,8,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,2739.72602739726,25003135.473972604,0.05,10000000000.0,49720.406255841604,49720.406255841604,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503842973.6576711,2480931.6897396976,0.004923531773661618,0.004923531773661618,1.0,0.0,0.0,0,{},0,0,1,9,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,2739.72602739726,25003135.473972604,5603842973.657671,9999950279.593744,49720.406255841604,49720.406255841604,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503842973.6576711,2480931.6897396976,0.004923531773661618,0.004923531773661618,1.0,0.0,0.0,0,{},0,0,1,10,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,2739.72602739726,25003135.473972604,5603842973.657671,9999950279.593744,49720.406255841604,49720.406255841604,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503842973.6576711,2480931.6897396976,0.004923531773661618,0.004923531773661618,1.0,0.0,0.0,0,{},0,0,1,11,1
15000,18360.000000000004,1882.1435904455548,18772.143590445557,1470.0,43.50525752341222,0.0,1224000000.0,1470000000.0,0,0.8326530612244898,24480.000000000004,244.80000000000004,2e-05,1.0,5875.200000000001,2739.72602739726,25003135.473972604,5603842973.657671,9999950279.593744,49720.406255841604,49720.406255841604,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503842973.6576711,2480931.6897396976,0.004923531773661618,0.004923531773661618,1.0,0.0,0.0,0,"{'total_cost': 0.8418039275993319, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.0004164931278633896, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 3.61133202878244, 'decentralization_cost': 0.0}",0,0,1,12,1
