timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,1224000000.0,1470000000.0,0.8326530612244898,503836358.5391897,2480964.2631274527,0.004923596417162386,376712.3287671233,3515981.735159817,376712.3287671233,3515981.735159817,56335.524737212436,56335.524737212436,0,0,9999943664.475264,5603836358.539189,150000000,15000,21215.147672078212,20803.00408163266,1882.1435904455548,1470.0,49.167025514376796,0.0,6656.96130612245,2739.72602739726,25003917.235278726
2,1,0,1248480000.0,1470000000.0,0.8493061224489796,506630369.3061318,2467282.0180755616,0.004860007924921375,376712.3287671233,3515981.735159817,753424.6575342466,7031963.470319634,58683.29698484624,115018.82172205867,0,0,9999884981.178278,5607670369.306131,151040000,15104,21727.411192539228,21343.810246530615,1853.6009460086132,1470.0,50.3905814822471,104.0,6830.019278889797,2739.72602739726,25008007.52853022
3,1,0,1273449600.0,1480192000.0,0.8603273088896576,509292311.9383167,2454386.156434646,0.004951409803691518,376712.3287671233,3515981.735159817,1130136.98630137,10547945.20547945,60751.43174203129,175770.25346408994,0,0,9999824229.746536,5611502311.938316,152210000,15221,22207.92406846721,21854.89600424767,1833.220064219543,1480.192,51.17674182841468,117.0,6993.566721359253,2739.72602739726,25012261.369224183
4,1,0,1298918592.0,1491658000.0,0.8707884729609602,511812162.8685868,2442302.255956646,0.004973504262685041,376712.3287671233,3515981.735159817,1506849.3150684931,14063926.940639269,62843.133656888895,238613.38712097885,0,0,9999761386.612879,5615332162.868587,153520000,15352,22695.978759277918,22373.523127369685,1814.1136319082323,1491.658,51.92451814103002,131.0,7159.527400758299,2739.72602739726,25016681.170597546
5,1,0,1324896963.84,1504496000.0,0.8806251155470004,514189904.32917833,2431008.4454706926,0.004934850330842414,376712.3287671233,3515981.735159817,1883561.6438356163,17579908.675799087,64952.6033354043,303565.99045638315,0,0,9999696434.009544,5619159904.329178,154970000,15497,23190.993781545836,22899.188817296817,1796.3009642490183,1504.4959999999999,52.62802906444289,145.0,7327.740421534982,2739.72602739726,25021269.184991684
6,1,0,1351394903.1167998,1518706000.0,0.8898331231435181,516475520.90470356,2420250.233370966,0.004899730144499593,376712.3287671233,3515981.735159817,2260273.9726027395,21095890.410958905,67077.48840169045,370643.4788580736,0,0,9999629356.521141,5622985520.904703,156510000,15651,23692.86086860989,23431.834520845525,1779.7323477643604,1518.706,53.28622275484819,154.0,7498.187046670568,2739.72602739726,25026027.646010958
7,1,0,1378422801.1791358,1533798000.0,0.8986990471881798,518738979.3965047,2409689.746959514,0.004901224333274748,376712.3287671233,3515981.735159817,2636986.3013698626,24611872.146118723,69235.5721258019,439879.0509838755,0,0,9999560120.949017,5626808979.396504,158070000,15807,24204.019984966166,23973.797162402545,1764.0208225636184,1533.798,53.92168691651478,156.0,7671.615091968813,2739.72602739726,25030959.53507553
8,1,0,1405991257.2027185,1549086000.0,0.9076263404373408,520980218.35584044,2399323.3446461176,0.004933079581841386,376712.3287671233,3515981.735159817,3013698.630136986,28127853.88127854,71455.10459118319,511334.1555750587,0,0,9999488665.844425,5630630218.355841,159650000,15965,24728.16304432972,24528.58328320342,1748.6657611263008,1549.086,54.56693963340358,158.0,7849.1466506250945,2739.72602739726,25036068.95569876
9,1,0,1434111082.346773,1564570000.0,0.9166167588198502,523209174.7453307,2389101.836007426,0.004906097047282516,376712.3287671233,3515981.735159817,3390410.958904109,31643835.61643836,73737.67443666937,585071.8300117281,0,0,9999414928.169989,5634449174.745331,161240000,16124,25265.60263666362,25096.51450069123,1733.6581359723878,1564.57,55.222149344638524,159.0,8030.884640221194,2739.72602739726,25041360.114311583
10,1,0,1462793303.9937084,1580152000.0,0.9257294893109703,525415779.52094245,2379068.2516990835,0.004925960918691342,376712.3287671233,3515981.735159817,3767123.287671232,35159817.35159817,76089.288315203,661161.1183269311,0,0,9999338838.881674,5638265779.520943,162850000,16285,25817.19659628458,25678.42503756612,1718.923558718455,1580.1519999999998,55.89221036860004,161.0,8217.096012021158,2739.72602739726,25046837.48429621
11,1,0,1492049170.0735826,1595930000.0,0.9349089058251819,527609966.10998094,2369174.352820006,0.004904604785273014,376712.3287671233,3515981.735159817,4143835.6164383553,38675799.08675799,78507.47488844389,739668.593215375,0,0,9999260331.406784,5642079966.109981,164470000,16447,26382.761378110572,26274.170383068173,1704.5209950424007,1595.9299999999998,56.572621394205214,162.0,8407.734522581815,2739.72602739726,25052505.492791396
12,1,0,1521890153.4750543,1611806000.0,0.944214225207658,529781661.59799176,2359462.5684656543,0.004935602842655332,376712.3287671233,3515981.735159817,4520547.945205479,42191780.8219178,80998.57591613915,820667.1691315142,0,0,9999179332.830868,5645891661.597992,166110000,16611,26963.196065796117,26884.623834388323,1690.3782314077944,1611.806,57.26832873784641,164.0,8603.079627004263,2739.72602739726,25058368.846391004
13,1,0,1552327956.5445554,1661100000.0,0.9345180642613662,531931335.1621917,2349927.363498638,0.004901867252633383,376712.3287671233,3515981.735159817,4897260.273972603,45707762.55707762,83020.49972699331,903687.6688585074,0,0,9999096312.331142,5649701335.162191,167770000,16777,27347.459630857025,27332.006580827587,1676.5530500294376,1661.1,57.531223471794526,166.0,8746.242105864827,2739.72602739726,25064375.362469472
14,1,0,1583374515.6754465,1677700000.0,0.9437769062856568,534068395.7689949,2340524.1911013066,0.004980724257090102,376712.3287671233,3515981.735159817,5273972.602739726,49223744.29223743,85633.45712369212,989321.1259821996,0,0,9999010678.874018,5653508395.768995,169440000,16944,27951.94242796482,27966.607999479696,1663.0344284851224,1677.6999999999998,58.24106688361095,167.0,8949.314559833503,2739.72602739726,25070584.95100191
15,1,0,1615042005.9889555,1694400000.0,0.9531645455553326,536182765.1958332,2331294.627762708,0.004922335034608927,376712.3287671233,3515981.735159817,5650684.93150685,52739726.027397245,88324.6370886916,1077645.7630708911,0,0,9998922354.236929,5657312765.195833,171130000,17113,28572.265301634907,28616.908750014874,1649.7565516200348,1694.3999999999999,58.966722856923695,169.0,9157.41080000476,2739.72602739726,25077002.63577452
16,1,0,1647128721.9107914,1711300000.0,0.962501444463736,538274383.725208,2322235.7180536594,0.004901266597721807,376712.3287671233,3515981.735159817,6027397.260273973,56255707.76255706,91075.53455211548,1168721.2976230066,0,0,9998831278.702377,5661114383.725208,172840000,17284,29203.202846710195,29277.727307270565,1636.7755394396297,1711.3,59.693355538240226,171.0,9368.87273832658,2739.72602739726,25083631.78248545
17,1,0,1679221104.9172502,1728400000.0,0.9715465777119012,540353221.9069598,2313301.6503327703,0.0049329476573716875,376712.3287671233,3515981.735159817,6404109.589041097,59771689.497716874,93855.8821753647,1262577.1797983714,0,0,9998737422.820202,5664913221.90696,174560000,17456,29834.98673394891,29939.302365230713,1624.0843687181998,1728.3999999999999,60.400911183236516,172.0,9580.576756873828,2739.72602739726,25090472.63321493
18,1,0,1711332401.190326,1745600000.0,0.9803691574188393,542409244.6579697,2304532.9929585177,0.004962577939817001,376712.3287671233,3515981.735159817,6780821.917808221,63287671.23287669,96671.31291714453,1359248.492715516,0,0,9998640751.507284,5668709244.657969,176300000,17630,30468.43028000794,30602.41383959503,1611.6164404129067,1745.6,61.09491486610864,174.0,9792.772428670409,2739.72602739726,25097525.6796162
19,1,0,1743471396.752932,1763000000.0,0.9889230838076756,544442422.0363324,2295926.895859308,0.004924432462981218,376712.3287671233,3515981.735159817,7157534.246575344,66803652.9680365,99516.68556433945,1458765.1782798553,0,0,9998541234.82172,5672502422.036332,178060000,17806,31103.03745628665,31266.6114222795,1599.4260340071494,1763.0,61.77105246909543,176.0,10005.31565512944,2739.72602739726,25104791.269243937
