node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,node_apr_error_cum,step_cost_data,simulation,subset,run,substep,timestep
15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,0,0
15000,0.0,0.0,0.0,0.0,0.0,0.0,1200000000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,1,1
15000,0.0,0.0,0.0,0.0,0.0,0.0,1200000000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,2,1
15000,0.0,0.0,0.0,0.0,0.0,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,3,1
15000,18000.000000000004,0.0,0.0,0.0,0.0,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,4,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,502054794.5205479,2489768.076398363,0.004979536152796726,0.0,{},0,0,1,5,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,2739.72602739726,25003020.273972604,0.05,10000000000.0,0.0,0.0,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,502054794.5205479,2489768.076398363,0.004979536152796726,0.0,{},0,0,1,6,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,2739.72602739726,25003020.273972604,0.05,10000000000.0,0.0,0.0,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,505570776.25570774,2472453.034682081,0.004924667708916559,0.0,{},0,0,1,7,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,2739.72602739726,25003020.273972604,0.05,10000000000.0,49070.784201473034,49070.784201473034,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,505521705.47150624,2472693.034682081,0.004890893917949564,0.0,{},0,0,1,8,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,2739.72602739726,25003020.273972604,0.05,10000000000.0,49070.784201473034,49070.784201473034,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,505521705.47150624,2472693.034682081,0.004890893917949564,0.0,{},0,0,1,9,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,2739.72602739726,25003020.273972604,3155521705.471506,9999950929.2158,49070.784201473034,49070.784201473034,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,505521705.47150624,2472693.034682081,0.004890893917949564,0.0,{},0,0,1,10,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200000000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,2739.72602739726,25003020.273972604,3155521705.471506,9999950929.2158,49070.784201473034,49070.784201473034,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,505521705.47150624,2472693.034682081,0.004890893917949564,0.0,"{'total_cost': 1.7750515900718553, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.0015694152811184462, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 9.831061575010505, 'decentralization_cost': 0.0}",0,0,1,11,1
15000,18000.000000000004,10231.923601637109,26761.923601637114,1470.0,62.03178557504875,0.0,1200240000.0,1470000000.0,0,0.8163265306122449,24000.000000000004,240.00000000000003,5760.000000000001,2739.72602739726,25003020.273972604,3155521705.471506,9999950929.2158,49070.784201473034,49070.784201473034,0,0,150000000,2054794.5205479453,2054794.5205479453,3515981.735159817,3515981.735159817,0,505521705.47150624,2472693.034682081,0.004890893917949564,0.0,"{'total_cost': 1.7750515900718553, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.0015694152811184462, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 9.831061575010505, 'decentralization_cost': 0.0}",0,0,1,1,2
