timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,1200000000.0,1470000000.0,0.8163265306122449,505521705.47150624,2472693.034682081,0.004890893917949564,2054794.5205479453,3515981.735159817,2054794.5205479453,3515981.735159817,49070.784201473034,49070.784201473034,0,0,9999950929.2158,3155521705.471506,150000000,15000,26761.923601637114,18000.000000000004,10231.923601637109,1470.0,62.03178557504875,0.0,5760.000000000001,2739.72602739726,25003020.273972604
2,1,0,1224000000.0,1470000000.0,0.8326530612244898,503751330.3986786,2481383.0248561837,0.004855542746259648,2054794.5205479453,3515981.735159817,4109589.0410958906,7031963.470319634,51151.32853536204,100222.11273683507,0,0,9999899777.887262,3161041330.398679,157290000,15729,26900.06961264233,18360.000000000004,10010.069612642328,1470.0,62.416189438104055,729.0,5875.200000000001,2739.72602739726,25006155.747945208
3,1,0,1248480000.0,1541442000.0,0.8099428976244322,502780293.21252006,2486175.406782775,0.0050272801237223035,2054794.5205479453,3515981.735159817,6164383.561643836,10547945.20547945,51813.441866257126,152035.5546030922,0,0,9999847964.445396,3166560293.21252,163780000,16378,27266.16626644676,18727.2,10080.408266446757,1541.442,60.31375063899639,649.0,5992.704000000001,2739.72602739726,25009408.725917812
4,1,0,1273449600.0,1605044000.0,0.7934047913951269,502398421.1811011,2488065.143718691,0.005114778646599737,2054794.5205479453,3515981.735159817,8219178.082191781,14063926.940639269,52648.28712671958,204683.84172981177,0,0,9999795316.15827,3172078421.181101,169680000,16968,27616.00376297353,19101.744000000002,10119.303762973528,1605.0439999999999,58.65634254923236,590.0,6112.558080000001,2739.72602739726,25012781.557970416
5,1,0,1298918592.0,1662864000.0,0.7811333891406633,502485576.94093645,2487633.5906193154,0.005126593911026728,2054794.5205479453,3515981.735159817,10273972.602739727,17579908.675799087,53620.49587240346,258304.33760221524,0,0,9999741695.662397,3177595576.9409366,175110000,17511,27955.576460001084,19483.77888,10134.661580001084,1662.864,57.3088738662495,543.0,6234.809241600001,2739.72602739726,25016276.64118462
6,1,0,1324896963.84,1716078000.0,0.7720493846083919,502941641.6376864,2485377.8182489136,0.005130763134796372,2054794.5205479453,3515981.735159817,12328767.123287672,21095890.410958905,54711.558957819994,313015.89656003524,0,0,9999686984.10344,3183111641.6376863,180170000,18017,28288.52980084795,19873.4544576,10131.15334324795,1716.078,56.19408103836581,506.0,6359.505426432,2739.72602739726,25019896.420583658
7,1,0,1351394903.1167998,1765666000.0,0.7653740306019371,503696511.9943359,2481653.0792535176,0.005165158831983256,2054794.5205479453,3515981.735159817,14383561.643835617,24611872.146118723,55905.89905824687,368921.7956182821,0,0,9999631078.204382,3188626511.994336,184930000,18493,28618.082819897252,20270.923546752,10112.825273145252,1765.666,55.25684965672239,476.0,6486.69553496064,2739.72602739726,25023643.39009122
8,1,0,1378422801.1791358,1812314000.0,0.7605871836663711,504690094.9419764,2476767.451011122,0.0052258135842002534,2054794.5205479453,3515981.735159817,16438356.164383562,28127853.88127854,57193.30806722537,426115.1036855075,0,0,9999573884.896315,3194140094.9419765,189450000,18945,28946.6260920056,20676.34201768704,10082.598074318561,1812.3139999999999,54.460238594179145,452.0,6616.429445659853,2739.72602739726,25027520.093509488
9,1,0,1405991257.2027185,1856610000.0,0.7572894992500948,505892306.31381184,2470881.6172915036,0.005219202375275454,2054794.5205479453,3515981.735159817,18493150.68493151,31643835.61643836,58564.88387232522,484679.98755783273,0,0,9999515320.012442,3199652306.313812,193760000,19376,29276.277135752534,21089.86885804078,10043.018277711755,1856.61,53.77617978878768,431.0,6748.758034573049,2739.72602739726,25031529.125516664
10,1,0,1434111082.346773,1898848000.0,0.7552532284557653,507273064.7252001,2464156.066865387,0.0052580026879440024,2054794.5205479453,3515981.735159817,20547945.205479454,35159817.35159817,60017.84431943336,544697.831877266,0,0,9999455302.168123,3205163064.7252,197890000,19789,29608.256736166433,21511.666235201596,9995.438500964834,1898.848,53.18795672245983,413.0,6883.73319526451,2739.72602739726,25035673.132684533
11,1,0,1462793303.9937084,1939322000.0,0.7542807764743082,508792291.9655374,2456798.225403673,0.005249136813511816,2054794.5205479453,3515981.735159817,22602739.7260274,38675799.08675799,61549.015370441055,606246.8472477071,0,0,9999393753.152752,3210672291.9655375,201880000,20188,29943.7859427892,21941.89955990563,9941.208382883571,1939.322,52.68133493563116,399.0,7021.407859169801,2739.72602739726,25039954.814516306
12,1,0,1492049170.0735826,1978424000.0,0.754160468167381,510439915.8954332,2448868.0470985547,0.00529316336538894,2054794.5205479453,3515981.735159817,24657534.246575344,42191780.8219178,63152.32581200588,669399.173059713,0,0,9999330600.82694,3216179915.8954334,205740000,20574,30284.361751429315,22380.73755110374,9882.048200325575,1978.424,52.241823147647736,386.0,7161.836016353197,2739.72602739726,25044376.924505264
13,1,0,1521890153.4750543,2016252000.0,0.7548114786619203,512195863.6283762,2440472.656583064,0.005264846180677376,2054794.5205479453,3515981.735159817,26712328.76712329,45707762.55707762,64828.52276475853,734227.6958244715,0,0,9999265772.304176,3221685863.628376,209490000,20949,30630.58338586097,22828.352302125815,9818.483083735155,2016.252,51.86303544909507,375.0,7305.072736680261,2739.72602739726,25048942.27121455
14,1,0,1552327956.5445554,2053002000.0,0.7561258861630702,514040064.183465,2431717.0724534513,0.0053550923241128465,2054794.5205479453,3515981.735159817,28767123.287671234,49223744.29223743,66575.70061890908,800803.3964433806,0,0,9999199196.603556,3227190064.183465,213150000,21315,30983.328965889094,23284.919348168332,9751.411617720762,2053.002,51.53728029305855,366.0,7451.174191413866,2739.72602739726,25053653.71937857
