node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,resource_unit_price_current,resource_price_multiplier,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,fundamental_token_price,token_market_multiplier,token_speculation_premium,node_apr_error_cum,utilization_error_cum,step_cost_data,apr_divergence_warning,business_apr,simulation,subset,run,substep,timestep
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,300000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0,0,0.0,0.0,0.0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,0,0
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0,0,0.0,0.0,0.0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,1,1
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,2,1
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,784000000.0,0,0.3903061224489796,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,3,1
15000,4590.000000000001,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,784000000.0,0,0.3903061224489796,6120.000000000001,61.20000000000001,2e-05,1.0,1468.8000000000002,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0,{},,4.51904761904762,0,0,1,4,1
15000,4590.000000000001,1998.4012789768185,5804.401278976819,784.0,13.451981677452101,0.0,306000000.0,784000000.0,0,0.3903061224489796,6120.000000000001,61.20000000000001,2e-05,1.0,1468.8000000000002,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,500400000.0,2498001.598721023,0.004996003197442046,0.004996003197442046,1.0,0.0,0.0,0,{},,8.820589722116484,0,0,1,5,1
15000,4590.000000000001,1998.4012789768185,5804.401278976819,784.0,13.451981677452101,0.0,306000000.0,784000000.0,0,0.3903061224489796,6120.000000000001,61.20000000000001,2e-05,1.0,1468.8000000000002,2739.72602739726,24998729.073972605,0.05,10000000000.0,0.0,0.0,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,500400000.0,2498001.598721023,0.004996003197442046,0.004996003197442046,1.0,0.0,0.0,0,{},,8.820589722116484,0,0,1,6,1
15000,4590.000000000001,1998.4012789768185,5804.401278976819,784.0,13.451981677452101,0.0,306000000.0,784000000.0,0,0.3903061224489796,6120.000000000001,61.20000000000001,2e-05,1.0,1468.8000000000002,2739.72602739726,24998729.073972605,0.05,10000000000.0,0.0,0.0,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,503523287.6712329,2482506.828594126,0.004961044821331187,0.004961044821331187,1.0,0.0,0.0,0,{},,8.820589722116484,0,0,1,7,1
15000,4590.000000000001,1998.4012789768185,5804.401278976819,784.0,13.451981677452101,0.0,306000000.0,784000000.0,0,0.3903061224489796,6120.000000000001,61.20000000000001,2e-05,1.0,1468.8000000000002,2739.72602739726,24998729.073972605,0.05,10000000000.0,12412.801925484513,12412.801925484513,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,503510874.8693074,2482568.028594126,0.004930393666747499,0.004930393666747499,1.0,0.0,0.0,0,{},,8.820589722116484,0,0,1,8,1
15000,4590.000000000001,1998.4012789768185,5804.401278976819,784.0,13.451981677452101,0.0,306000000.0,784000000.0,0,0.3903061224489796,6120.000000000001,61.20000000000001,2e-05,1.0,1468.8000000000002,2739.72602739726,24998729.073972605,0.05,10000000000.0,12412.801925484513,12412.801925484513,0,0,150000000,400000,400000,3123287.671232877,3123287.671232877,150.0,503510874.8693074,2482568.028594126,0.004930393666747499,0.004930393666747499,1.0,0.0,0.0,0,{},,8.820589722116484,0,0,1,9,1
