node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,resource_unit_price_current,resource_price_multiplier,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,fundamental_token_price,token_market_multiplier,token_speculation_premium,node_apr_error_cum,utilization_error_cum,step_cost_data,apr_divergence_warning,business_apr,simulation,subset,run,substep,timestep
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,300000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0.0,{},,4.51904761904762,0,0,1,0,0
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0.0,{},,4.51904761904762,0,0,1,1,1
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,0.0,0,0.0,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0.0,{},,4.51904761904762,0,0,1,2,1
15000,0.0,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,1470000000.0,0,0.20816326530612245,0.0,0.0,2e-05,1.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0.0,{},,4.51904761904762,0,0,1,3,1
15000,4054.1877551020407,0.0,0.0,0.0,10.86825396825397,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500000000.0,2500000.0,0.005,0.005,1.0,0.0,0.0,0.0,{},,4.51904761904762,0,0,1,4,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500376712.3287671,2498117.8564095544,0.004996235712819109,0.004996235712819109,1.0,0.0,0.0,0.0,{},,5.988967281913612,0,0,1,5,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,500376712.3287671,2498117.8564095544,0.004996235712819109,0.004996235712819109,1.0,0.0,0.0,0.0,{},,5.988967281913612,0,0,1,6,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,0.05,10000000000.0,0.0,0.0,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503892694.06392694,2480686.889739698,0.004957638572335855,0.004957638572335855,1.0,0.0,0.0,0.0,{},,5.988967281913612,0,0,1,7,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,0.05,10000000000.0,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.0,{},,5.988967281913612,0,0,1,8,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,0.05,10000000000.0,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.0,{},,5.988967281913612,0,0,1,9,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,5603881714.1422825,9999989020.078356,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.0,{},,5.988967281913612,0,0,1,10,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,5603881714.1422825,9999989020.078356,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.0,{},,5.988967281913612,0,0,1,11,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,306000000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,5603881714.1422825,9999989020.078356,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.0,"{'total_cost': 0.4713634065314189, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.5701790920449813, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 0.19212422346782415, 'decentralization_cost': 0.0}",,5.988967281913612,0,0,1,12,1
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,312120000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,5603881714.1422825,9999989020.078356,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,376712.3287671233,3515981.735159817,3515981.735159817,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.0,"{'total_cost': 0.4713634065314189, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.5701790920449813, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 0.19212422346782415, 'decentralization_cost': 0.0}",,5.988967281913612,0,0,1,1,2
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,312120000.0,1470000000.0,0,0.20816326530612245,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,5603881714.1422825,9999989020.078356,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,753424.6575342466,3515981.735159817,7031963.470319634,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.0,"{'total_cost': 0.4713634065314189, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.5701790920449813, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 0.19212422346782415, 'decentralization_cost': 0.0}",,5.988967281913612,0,0,1,2,2
15000,4054.1877551020407,1882.1435904455548,4466.331345547595,1470.0,10.350916741966195,0.0,312120000.0,1176000000.0,0,0.26540816326530614,5405.583673469388,54.05583673469388,1.766530612244898e-05,0.8832653061224489,1297.340081632653,2739.72602739726,24998557.614054237,5603881714.1422825,9999989020.078356,10979.921644255159,10979.921644255159,0,0,150000000,376712.3287671233,753424.6575342466,3515981.735159817,7031963.470319634,0,503881714.14228266,2480740.9455764326,0.004923153232425535,0.004923153232425535,1.0,0.0,0.0,0.637673469387755,"{'total_cost': 0.4713634065314189, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.5701790920449813, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 0.19212422346782415, 'decentralization_cost': 0.0}",,5.988967281913612,0,0,1,3,2
