node_amount,node_network_revenue,node_incentive_revenue,node_profit,node_expenditures,node_apr,node_change_amount,network_resource_demand,network_resource_provision,network_resource_provision_max,network_resource_demand_supply_ratio,network_revenue,buyback_and_burn_revenue,foundation_revenue,foundation_expenditures,foundation_cash_reserves,token_circulating_supply,token_total_supply,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_staked_supply,token_incentives_vested,token_incentives_vested_cum,token_seller_vested,token_seller_vested_cum,emission_cap_utilization,dex_tokens,dex_usdc,dex_token_price,node_apr_error_cum,step_cost_data,simulation,subset,run,substep,timestep
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,50000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,0,0
5000,0.0,0.0,0.0,0.0,0.0,0.0,400000000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,50000000,0.0,0.0,0.0,0.0,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,1,1
5000,0.0,0.0,0.0,0.0,0.0,0.0,400000000.0,0.0,0,0.0,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,2,1
5000,0.0,0.0,0.0,0.0,0.0,0.0,400000000.0,490000000.0,0,0.8163265306122449,0.0,0.0,0.0,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,3,1
5000,6000.000000000001,0.0,0.0,0.0,0.0,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,500000000.0,2500000.0,0.005,0.0,{},0,0,1,4,1
5000,6000.000000000001,33783.78378378379,39293.78378378379,490.0,273.3612620734063,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,0.0,25000000.0,0.05,10000000000.0,0.0,0.0,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,506849315.0684931,2466216.2162162163,0.004932432432432432,0.0,{},0,0,1,5,1
5000,6000.000000000001,33783.78378378379,39293.78378378379,490.0,273.3612620734063,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,2739.72602739726,24999180.273972604,0.05,10000000000.0,0.0,0.0,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,506849315.0684931,2466216.2162162163,0.004932432432432432,0.0,{},0,0,1,6,1
5000,6000.000000000001,33783.78378378379,39293.78378378379,490.0,273.3612620734063,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,2739.72602739726,24999180.273972604,0.05,10000000000.0,0.0,0.0,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,510000000.0,2450980.3921568627,0.0048357180710121885,0.0,{},0,0,1,7,1
5000,6000.000000000001,33783.78378378379,39293.78378378379,490.0,273.3612620734063,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,2739.72602739726,24999180.273972604,0.05,10000000000.0,16645.856679237993,16645.856679237993,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,509983354.14332074,2451060.3921568627,0.0048060007689350245,0.0,{},0,0,1,8,1
5000,6000.000000000001,33783.78378378379,39293.78378378379,490.0,273.3612620734063,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,2739.72602739726,24999180.273972604,0.05,10000000000.0,16645.856679237993,16645.856679237993,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,509983354.14332074,2451060.3921568627,0.0048060007689350245,0.0,{},0,0,1,9,1
5000,6000.000000000001,33783.78378378379,39293.78378378379,490.0,273.3612620734063,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,2739.72602739726,24999180.273972604,1559983354.1433208,9999983354.14332,16645.856679237993,16645.856679237993,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,509983354.14332074,2451060.3921568627,0.0048060007689350245,0.0,{},0,0,1,10,1
5000,6000.000000000001,33783.78378378379,39293.78378378379,490.0,273.3612620734063,0.0,400000000.0,490000000.0,0,0.8163265306122449,8000.000000000001,80.00000000000001,1920.0000000000002,2739.72602739726,24999180.273972604,1559983354.1433208,9999983354.14332,16645.856679237993,16645.856679237993,0,0,50000000,6849315.068493151,6849315.068493151,3150684.9315068494,3150684.9315068494,0,509983354.14332074,2451060.3921568627,0.0048060007689350245,0.0,"{'total_cost': 44.800753513929166, 'price_stability_cost': 1.0, 'utilization_efficiency_cost': 0.0015694152811184462, 'foundation_sustainability_cost': 0.0, 'node_profitability_cost': 296.66907440072595, 'decentralization_cost': 0.0}",0,0,1,11,1
