timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
1,1,0,400000000.0,490000000.0,0.8163265306122449,509983354.14332074,2451060.3921568627,0.0048060007689350245,6849315.068493151,3150684.9315068494,6849315.068493151,3150684.9315068494,16645.856679237993,16645.856679237993,0,0,9999983354.14332,1559983354.1433208,50000000,5000,39293.78378378379,6000.000000000001,33783.78378378379,490.0,273.3612620734063,0.0,1920.0000000000002,2739.72602739726,24999180.273972604
2,1,0,400080000.0,490000000.0,0.8164897959183673,517466046.7664391,2415617.4261307498,0.004645721468070797,6849315.068493151,3150684.9315068494,13698630.136986302,6301369.863013699,17307.376881668064,33953.233560906054,0,0,9999966046.76644,1569966046.766439,52500000,5250,37993.830990392096,6001.200000000001,32482.630990392096,490.0,264.79706062665514,250.0,1920.384,2739.72602739726,24998360.93194521
3,1,0,400160016.0,514500000.0,0.7777648513119534,524828234.1372886,2381731.619402578,0.004515574164919171,6849315.068493151,3150684.9315068494,20547945.205479454,9452054.794520548,17812.629150511995,51765.86271141805,0,0,9999948234.13729,1579948234.1372886,55120000,5512,37043.95608129514,6002.400240000001,31556.05584129514,514.5,246.20077172153538,262.0,1920.7680768,2739.72602739726,24997541.973994613
4,1,0,400240048.0032,540176000.0,0.7409437812920233,532059917.139095,2349359.460718811,0.004392886865835328,6849315.068493151,3150684.9315068494,27397260.273972604,12602739.726027397,18316.99819358867,70082.86090500672,0,0,9999929917.139095,1589929917.139095,57870000,5787,36145.988417253815,6003.600720048001,30682.563697205813,540.1759999999999,229.09311304189055,275.0,1921.15223041536,2739.72602739726,24996723.400197633
5,1,0,400320096.01280063,567126000.0,0.7058750542433262,539151097.6909013,2318459.5289772227,0.004277276278226644,6849315.068493151,3150684.9315068494,34246575.34246576,15753424.657534247,18819.448193805933,88902.30909881265,0,0,9999911097.6909,1599911097.6909013,60760000,6076,35297.06955316916,6004.80144019201,29859.39411297715,567.126,213.32716485902728,289.0,1921.536460861443,2739.72602739726,24995905.2106311
6,1,0,400400160.03200316,595448000.0,0.6724351413255283,546101778.7791535,2288950.6106251054,0.004168308408072777,6849315.068493151,3150684.9315068494,41095890.41095891,18904109.589041095,19318.911747793758,108221.2208466064,0,0,9999891778.779154,1609891778.7791533,63790000,6379,34494.52469870946,6006.002400480048,29083.970298229407,595.448,198.77638260511077,303.0,1921.9207681536154,2739.72602739726,24995087.405371856
7,1,0,400480240.06400955,625142000.0,0.6406228345943954,552901963.7749553,2260798.625972652,0.004065585243271062,6849315.068493151,3150684.9315068494,47945205.47945206,22054794.520547945,19815.004198251983,128036.22504485838,0,0,9999871963.774956,1619871963.7749553,66970000,6697,33734.919715950666,6007.203600960143,28352.858114990526,625.1419999999999,185.35503296600143,318.0,1922.3051523072459,2739.72602739726,24994269.98449677
8,1,0,400560336.11202234,656306000.0,0.6103255739122031,559541657.148236,2233971.2942388575,0.003968811678030106,6849315.068493151,3150684.9315068494,54794520.54794521,25205479.452054795,20306.62671924942,148342.8517641078,0,0,9999851657.148235,1629851657.148236,70310000,7031,33016.032436701535,6008.405041680336,27663.9333950212,656.3059999999999,172.95835784652502,334.0,1922.6896133377074,2739.72602739726,24993452.94808271
9,1,0,400640448.17924476,689038000.0,0.581448988559767,566010864.495068,2208438.1739122816,0.0038777124976277434,6849315.068493151,3150684.9315068494,61643835.61643836,28356164.383561645,20792.65316807943,169135.5049321872,0,0,9999830864.495068,1639830864.495068,73820000,7382,32335.78259222819,6009.606722688672,27015.21386953952,689.038,161.49489297449878,351.0,1923.074151260375,2739.72602739726,24992636.296206575
10,1,0,400720576.2688806,723436000.0,0.5539129601911995,572299592.5630099,2184170.6970329103,0.0037920315318787203,6849315.068493151,3150684.9315068494,68493150.68493152,31506849.315068495,21271.932058041282,190407.43699022848,0,0,9999809592.56301,1649809592.5630097,77510000,7751,31692.225698991562,6010.80864403321,26404.853054958356,723.4359999999999,150.88417748807998,369.0,1923.458766090627,2739.72602739726,24991820.02894527
