timestep,run,subset,network_resource_demand,network_resource_provision,network_resource_demand_supply_ratio,dex_tokens,dex_usdc,dex_token_price,token_incentives_vested,token_seller_vested,token_incentives_vested_cum,token_seller_vested_cum,token_burned_supply,token_burned_supply_cum,token_minted_supply,token_minted_supply_cum,token_total_supply,token_circulating_supply,token_staked_supply,node_amount,node_profit,node_network_revenue,node_incentive_revenue,node_expenditures,node_apr,node_change_amount,foundation_revenue,foundation_expenditures,foundation_cash_reserves
2271,1,0,1889431826.2539303,3562104000.0,0.5304257894362238,1949172840.2920105,641297.6695349069,0.00032899665773416874,0.0,0.0,3000000000.0,3850000000.0,1149326.8581995512,5187267159.707961,0,0,4812732840.292039,4812732840.29201,363560000,36356,24779.373393808957,28341.477393808957,0.0,3562.104,24.801502442661093,8.0,9069.272766018867,2739.72602739726,35333515.29464595
2272,1,0,1889809712.6191812,3562888000.0,0.5304151330659794,1947944731.938051,641701.9844070988,0.0003294116208517961,0.0,0.0,3000000000.0,3850000000.0,1148108.3539594936,5188415268.06192,0,0,4811584731.93808,4811584731.938051,363640000,36364,24784.25768928772,28347.145689287718,0.0,3562.888,24.800830062658648,8.0,9071.08662057207,2739.72602739726,35339846.65523912
2273,1,0,1890187674.5617049,3563672000.0,0.5304045025921872,1946717840.2743297,642106.4080985937,0.0003298269572808404,0.0,0.0,3000000000.0,3850000000.0,1146891.6637213929,5189562159.725641,0,0,4810437840.274359,4810437840.27433,363720000,36372,24789.143118425578,28352.815118425577,0.0,3563.672,24.800158980910965,8.0,9072.900837896184,2739.72602739726,35346179.83004962
2274,1,0,1890565712.0966172,3564456000.0,0.5303938980020001,1945492163.4904468,642510.9406543954,0.0003302426672787613,0.0,0.0,3000000000.0,3850000000.0,1145676.7838828017,5190707836.509524,0,0,4809292163.490476,4809292163.490447,363800000,36380,24794.02968144926,28358.48568144926,0.0,3564.4559999999997,24.799489196658783,8.0,9074.715418063763,2739.72602739726,35352514.81944028
2275,1,0,1890943825.2390366,3565240000.0,0.5303833192825831,1944267699.7795966,642915.5821195315,0.00033065875110321565,0.0,0.0,3000000000.0,3850000000.0,1144463.7108502134,5191852300.220374,0,0,4808147699.779626,4808147699.779596,363880000,36388,24798.917378585553,28364.15737858555,0.0,3565.24,24.798820709143445,8.0,9076.530361147376,2739.72602739726,35358851.62377403
2276,1,0,1891322014.0040843,3566024000.0,0.5303727664211133,1943044447.3385575,643320.3325390533,0.0003310752090120583,0.0,0.0,3000000000.0,3850000000.0,1143252.4410390356,5192995552.661413,0,0,4807004447.338587,4807004447.338557,363960000,36396,24803.806210061266,28369.830210061267,0.0,3566.024,24.79815351760686,8.0,9078.345667219604,2739.72602739726,35365190.24341385
2277,1,0,1891700278.4068851,3566808000.0,0.5303622394047802,1941822404.367684,643725.1919580358,0.00033149204126334226,0.0,0.0,3000000000.0,3850000000.0,1142042.9708735638,5194137595.632287,0,0,4805862404.367713,4805862404.367683,364040000,36404,24808.696176103276,28375.504176103277,0.0,3566.808,24.797487621291552,8.0,9080.161336353049,2739.72602739726,35371530.67872281
2278,1,0,1892078618.4625664,3567592000.0,0.5303517382207849,1940601569.0708969,644130.1604215775,0.00033190924811531835,0.0,0.0,3000000000.0,3850000000.0,1140835.2967869553,5195278430.929074,0,0,4804721569.070926,4804721569.070897,364120000,36412,24813.587276938495,28381.179276938496,0.0,3567.5919999999996,24.79682301944061,8.0,9081.977368620319,2739.72602739726,35377872.93006403
2279,1,0,1892457034.1862588,3568376000.0,0.5303412628563411,1939381939.6556756,644535.2379748009,0.00033232682982643584,0.0,0.0,3000000000.0,3850000000.0,1139629.4152212024,5196418060.3442955,0,0,4803581939.6557045,4803581939.655676,364200000,36420,24818.47951279388,28386.85551279388,0.0,3568.3759999999997,24.796159711297737,8.0,9083.793764094042,2739.72602739726,35384216.99780072
2280,1,0,1892835525.593096,3569160000.0,0.5303308132986742,1938163514.3330486,644940.424662852,0.0003327447866553427,0.0,0.0,3000000000.0,3850000000.0,1138425.322627106,5197556485.666923,0,0,4802443514.333077,4802443514.333049,364280000,36428,24823.37288389644,28392.53288389644,0.0,3569.16,24.79549769610721,8.0,9085.61052284686,2739.72602739726,35390562.88229617
2281,1,0,1893214092.6982145,3569944000.0,0.530320389535022,1936946291.3175843,645345.7205309005,0.00033316311886088547,0.0,0.0,3000000000.0,3850000000.0,1137223.0154642486,5198693708.682386,0,0,4801306291.317614,4801306291.317584,364360000,36436,24828.26739047322,28398.211390473218,0.0,3569.944,24.794836973113878,8.0,9087.42764495143,2739.72602739726,35396910.58391372
2282,1,0,1893592735.5167542,3570728000.0,0.5303099915526341,1935730268.8273833,645751.12562414,0.00033358182670210944,0.0,0.0,3000000000.0,3850000000.0,1136022.4902009715,5199829731.172587,0,0,4800170268.827413,4800170268.827383,364440000,36444,24833.163032751316,28403.891032751315,0.0,3570.728,24.794177541563208,8.0,9089.24513048042,2739.72602739726,35403260.1030168
2283,1,0,1893971454.0638576,3571512000.0,0.5302996193387723,1934515445.084069,646156.6399877879,0.000334000910438259,0.0,0.0,3000000000.0,3850000000.0,1134823.7433143444,5200964554.915902,0,0,4799035445.084098,4799035445.084069,364520000,36452,24838.059810957868,28409.571810957867,0.0,3571.5119999999997,24.793519400701232,8.0,9091.062979506518,2739.72602739726,35409611.43996891
2284,1,0,1894350248.3546703,3572296000.0,0.5302892728807104,1933301818.312779,646562.2636670852,0.0003344203703287777,0.0,0.0,3000000000.0,3850000000.0,1133626.7712901433,5202098181.687192,0,0,4797901818.312808,4797901818.312778,364600000,36460,24842.95772532006,28415.253725320057,0.0,3572.296,24.79286254977457,8.0,9092.881192102417,2739.72602739726,35415964.59513361
2285,1,0,1894729118.4043412,3573080000.0,0.5302789521657341,1932089386.742156,646967.9967072967,0.00033484020663330865,0.0,0.0,3000000000.0,3850000000.0,1132431.570622822,5203230613.257814,0,0,4796769386.742186,4796769386.742156,364680000,36468,24847.85677606512,28420.936776065122,0.0,3573.08,24.79220698803042,8.0,9094.699768340839,2739.72602739726,35422319.56887455
